epoch,train_loss,val_loss
1,0.10539931502996706,-0.6881717530863026
2,-1.04191162975785,-1.376544116878789
3,-1.4747005978440926,-1.5253483242303396
4,-1.5680839189516953,-1.565588176075664
5,-1.5996179523031695,-1.5747266633769283
6,-1.6165682133506327,-1.592486721329675
7,-1.6138137377944648,-1.5996702374600944
8,-1.6440465909982818,-1.6211949422562226
9,-1.6691823897018931,-1.6295029907282497
10,-1.6844106604071225,-1.6440793429651568
11,-1.6883808706320969,-1.6475539011689575
12,-1.7026229080811046,-1.65645031600404
13,-1.71274624883739,-1.6494324672257097
14,-1.7176767277561762,-1.661656740473862
15,-1.7256423590230008,-1.6656312086015852
16,-1.7347213022069994,-1.667181473673264
17,-1.7412337000853095,-1.669802072111113
18,-1.7464575133292504,-1.6693206731874572
19,-1.747017135651283,-1.671861957594796
20,-1.7540047475715088,-1.6731842039617275
21,-1.758328973857406,-1.6752013377080566
22,-1.7610065673690996,-1.6727543412065926
23,-1.763966769486471,-1.6788805331652465
24,-1.7597994936837091,-1.6735618953481097
25,-1.7626668328553243,-1.6720772729940778
26,-1.7697014852286943,-1.673884699071957
27,-1.7718405558392893,-1.6746836932173923
28,-1.7747778259850795,-1.6679249865568277
29,-1.7754744257023132,-1.6778406922069113
30,-1.78024321864633,-1.6774124043428305
31,-1.7854081596424376,-1.663813172896936
32,-1.7860501950083216,-1.6745269134247407
33,-1.7791733465942683,-1.6689208717989432
34,-1.78243268860711,-1.6808705099167363
35,-1.7915681874829958,-1.6777043457954162
36,-1.7962017459807054,-1.6605799065307438
37,-1.7962204345690658,-1.6500400126504757
38,-1.7974930831809448,-1.6747579224997602
39,-1.7976185730080199,-1.6681925537299551
40,-1.8006138739243052,-1.6598818819543832
41,-1.801847749597886,-1.6661892311314335
42,-1.8002623101465063,-1.664497814919592
43,-1.8040080379037295,-1.6814250061588902
44,-1.8105727187948288,-1.6856757189171754
45,-1.8131482409495934,-1.6808500366826211
46,-1.8130098727793476,-1.6695904473055843
47,-1.8146064058627958,-1.6595636476869107
48,-1.8118945846370622,-1.6766572994920166
49,-1.814405831480338,-1.6641028710474366
50,-1.8152979704289653,-1.6635451176998552
51,-1.817545411477681,-1.6666292095463997
52,-1.8192130339691062,-1.6805749362514866
53,-1.8217891370548922,-1.6764251189497559
54,-1.8279135875452577,-1.6784674589934587
55,-1.8278721701865104,-1.658929837763834
56,-1.8144025709114822,-1.6761630770048437
57,-1.8261573666840596,-1.6771821633112396
58,-1.829484463828841,-1.677209909011192
59,-1.8298536936442058,-1.6736910888526446
60,-1.827461871758006,-1.6813723030677639
61,-1.834544771948671,-1.6803594908057071
62,-1.8377521648905635,-1.6779463798069885
63,-1.8387484891741883,-1.6640199352918832
64,-1.8381366145377065,-1.6562355144981764
65,-1.8335132536545298,-1.6629619500504211
66,-1.8328560978758568,-1.6834197156240513
67,-1.8410528901355718,-1.6849094762130916
68,-1.8418745257496054,-1.6593328176006195
69,-1.8460766042759216,-1.6672795276837615
70,-1.8507059433880975,-1.6702772158681471
71,-1.8538466392778883,-1.6617118239053184
72,-1.853938306702508,-1.666850927987756
73,-1.8546657432917677,-1.6633335862341514
74,-1.8463800944534003,-1.6556161575652986
