cell,label,UMAP1,UMAP2
A16.B003275.3_38_F.1.1,oligodendrocyte,-0.94246554,8.713843
A16.MAA000560.3_10_M.1.1,oligodendrocyte,13.698771,6.19581
A16.MAA000561.3_10_M.1.1,neuron,-2.7557044,11.788103
A16.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,10.081078,-1.0774778
A16.MAA000581.3_10_M.1.1,endothelial cell,2.0663364,-1.5802308
A16.MAA000641.3_9_M.1.1,oligodendrocyte,-0.4705587,10.141053
A16.MAA000902.3_11_M.1.1,oligodendrocyte,0.40520856,10.030468
A16.MAA000930.3_8_M.1.1,astrocyte,1.2306014,15.635263
A16.MAA000932.3_11_M.1.1,endothelial cell,3.8933775,-1.5225573
A16.MAA000935.3_8_M.1.1,oligodendrocyte,0.52260745,11.662475
A16.MAA000941.3_8_M.1.1,neuron,12.087113,18.181877
A16.MAA000942.3_8_M.1.1,neuron,-4.5329103,13.966372
A16.MAA000944.3_9_M.1.1,neuron,-2.7840047,12.099425
A16.MAA001894.3_39_F.1.1,astrocyte,2.1196651,14.744284
A17.B003275.3_38_F.1.1,oligodendrocyte,-1.0326321,8.580459
A17.B003290.3_38_F.1.1,neuron,-5.3976755,13.718668
A17.MAA000560.3_10_M.1.1,astrocyte,1.4666264,15.689482
A17.MAA000561.3_10_M.1.1,neuron,-5.6007743,13.902615
A17.MAA000581.3_10_M.1.1,endothelial cell,3.2507796,-1.3529491
A17.MAA000641.3_9_M.1.1,oligodendrocyte,-0.969217,10.70715
A17.MAA001895.3_38_F.1.1,endothelial cell,2.744817,0.0069175023
A18.B000621.3_56_F.1.1,oligodendrocyte,0.35604638,10.421145
A18.MAA000560.3_10_M.1.1,oligodendrocyte,14.306262,2.4184055
A18.MAA000561.3_10_M.1.1,neuron,-3.167,11.918029
A18.MAA000578.3_10_M.1.1,oligodendrocyte,12.353714,5.4254622
A18.MAA000581.3_10_M.1.1,endothelial cell,4.3608108,-0.19479883
A18.MAA000926.3_9_M.1.1,oligodendrocyte,14.194324,5.955682
A18.MAA000930.3_8_M.1.1,endothelial cell,4.0863924,-0.90079415
A18.MAA000932.3_11_M.1.1,oligodendrocyte,12.809816,7.0016217
A18.MAA000935.3_8_M.1.1,oligodendrocyte,11.933576,15.528742
A18.MAA000941.3_8_M.1.1,endothelial cell,2.203564,-1.2136718
A18.MAA000942.3_8_M.1.1,oligodendrocyte,13.183306,7.793875
A18.MAA000944.3_9_M.1.1,oligodendrocyte,14.724691,3.9768348
A18.MAA001845.3_39_F.1.1,endothelial cell,2.8065474,0.09234546
A19.B003275.3_38_F.1.1,endothelial cell,3.912314,-1.1165609
A19.B003728.3_56_F.1.1,oligodendrocyte,0.4102532,10.251693
A19.MAA000550.3_10_M.1.1,oligodendrocyte,12.972373,8.612618
A19.MAA000560.3_10_M.1.1,oligodendrocyte,13.296731,7.40486
A19.MAA000561.3_10_M.1.1,neuron,-2.8354335,11.965692
A19.MAA000581.3_10_M.1.1,brain pericyte,-12.072227,3.6496828
A19.MAA000926.3_9_M.1.1,astrocyte,1.1466167,14.605906
A19.MAA000930.3_8_M.1.1,astrocyte,1.3101403,13.803169
A19.MAA000944.3_9_M.1.1,oligodendrocyte,0.11907019,10.946438
A2.B003277.3_39_F.1.1,oligodendrocyte,0.44910753,10.269265
A2.B003290.3_38_F.1.1,endothelial cell,3.425625,-0.5046396
A2.MAA000560.3_10_M.1.1,astrocyte,0.81127363,13.710635
A2.MAA000932.3_11_M.1.1,endothelial cell,3.7014802,-1.3050053
A2.MAA000935.3_8_M.1.1,oligodendrocyte,12.2085495,5.9203067
